,Activity Id,Students Sets,Subject,Teachers,Room,SKS,Schedules
245,246,IE-03-01,23593 - IEA2231 - PRAKTIKUM PROSES MANUFAKTUR,NNR,LAB,1,Schedule 6
380,381,CE-02-01,23363 - CEA3211 - PRAKTIKUM KEAMANAN JARINGAN DAN KOMPUTER,UBM,LAB,1,Schedule 6
344,345,IS-01-01,23833 - ISA40A3 - MANAJEMEN LOGISTIK,SIL,KELAS,3,Schedule 6
86,87,CE-04-01,23168 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,BLM,KELAS,3,Schedule 6
83,84,IE-04-02,23464 - IEA1211 - PRAKTIKUM MENGGAMBAR TEKNIK,BIA,LAB,1,Schedule 6
14,15,TE-02-01,23184 - LAA1022 - BAHASA INGGRIS 2,AFR,KELAS,2,Schedule 6
313,314,IS-03-02,23812 - FIA2014 - PERANCANGAN  BASIS DATA,RIN,KELAS,3,Schedule 6
71,72,IT-03-03,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,AWS,KELAS,3,Schedule 6
336,337,IS-04-04,23797 - LAA1012 - BAHASA INGGRIS 1,RZK,KELAS,2,Schedule 6
375,376,SE-02-01,23707 - SEA3252 - KAPITA SELEKTA,TTK,KELAS,2,Schedule 6
323,324,TE-03-02,23226 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,RMU,KELAS,3,Schedule 6
122,123,CE-03-01,23259 - FEA2214 - ELEKTRONIKA,EDS,KELAS,2,Schedule 6
282,283,DB-01-01,23983 - FIB1042 - PENGANTAR INDUSTRI TELEKOMUNIKASI,RAS,KELAS,2,Schedule 6
50,51,IF-01-02,23924 - IFB1234 - FISIKA,ARD,KELAS,3,Schedule 6
297,298,IE-03-03,23584 - IEA2221 - PRAKTIKUM PERANCANGAN KERJA DAN ERGONOMI,RDP,LAB,1,Schedule 6
302,303,IF-01-01,23925 - IFB1244 - SISTEM DIGITAL,RFM,LAB,3,Schedule 6
28,29,TE-04-01,23188 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,ALF,KELAS,3,Schedule 6
308,309,DS-01-01,23877 - DSB1214 - ALGORITMA DAN STRUKTUR DATA,RGT,LAB,3,Schedule 6
41,42,IS-03-05,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,ANO,LAB,3,Schedule 6
30,31,IT-04-01,23750 - ITA1213 - KOMUNIKASI DATA,AMI,KELAS,3,Schedule 6
267,268,EE-04-01,23288 - SCA1211 - PRAKTIKUM FISIKA 2,ONI,LAB,1,Schedule 6
274,275,SE-03-01,23693 - FIA2014 - PERANCANGAN BASIS DATA,PNG,LAB,3,Schedule 6
172,173,IS-04-02,23795 - MAA1033 - TEORI PROBABILITAS,HNF,KELAS,3,Schedule 6
135,136,TE-02-02,23244 - TEA3213 - ANTENA DAN PROPAGASI,FSA,KELAS,3,Schedule 6
176,177,TE-04-02,23187 - LAA1032 - BAHASA INDONESIA,HRM,KELAS,2,Schedule 6
167,168,IT-02-01,23770 - ITA3273 - PEMBELAJARAN MESIN,HMM,KELAS,3,Schedule 6
191,192,IE-04-01,23430 - MAA1214 - KALKULUS 2A,KHG,KELAS,2,Schedule 6
217,218,IS-04-03,23798 - LAA1032 - BAHASA INDONESIA,LSH,KELAS,2,Schedule 6
156,157,DB-01-02,23982 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2,Schedule 6
200,201,EE-03-01,23347 - MAA2013 - PROBABILITAS DAN STATISTIK,KHL,KELAS,3,Schedule 6
206,207,IT-02-02,23771 - ITA3233 - DATA WAREHOUSE,KMD,KELAS,3,Schedule 6
209,210,IS-03-04,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,LIA,KELAS,3,Schedule 6
388,389,IE-02-02,23620 - IEA3052 - PENGANTAR MANAJEMEN PELABUHAN,WAP,KELAS,2,Schedule 6
123,124,CE-03-01,23259 - FEA2214 - ELEKTRONIKA,EDS,KELAS,2,Schedule 7
376,377,SE-02-01,23706 - SEA3243 - PENJAMINAN KUALITAS PERANGKAT LUNAK,TTK,KELAS,3,Schedule 7
149,150,IE-02-02,23618 - IEA3043 - ORGANISASI DAN MANAJEMEN PERUSAHAAN INDUSTRI,GRA,KELAS,3,Schedule 7
76,77,IE-02-01,23619 - IEA3032 - K3 (KESEHATAN DAN KESELAMATAN KERJA) PELABUHAN,BIA,KELAS,2,Schedule 7
270,271,TE-04-02,23183 - SCA1211 - PRAKTIKUM FISIKA 2,ONI,LAB,1,Schedule 7
280,281,IS-03-04,23810 - ISA2223 - PERANCANGAN INTERAKSI,PUR,KELAS,3,Schedule 7
